accession,strain,lineage,date,joint_WHO_China_sample_id,addtl_annotations
EPI_ISL_17580884,hCoV-19/USA/WA-FDA-001/2020,A,2020-01-19,,other
EPI_ISL_17580883,hCoV-19/USA/WA-FDA-002/2020,A,2020-01-19,,other
EPI_ISL_479800,Japan/PG-0016/2020,B,2020-01-20,,other
EPI_ISL_479799,Japan/PG-0015/2020,B,2020-01-20,,other
EPI_ISL_428449,Guangdong/20SF123/2020,A,2020-01-20,,other
EPI_ISL_421236,Hangzhou/HZCDC0012/2020,B,2020-01-20,,other
EPI_ISL_421235,Hangzhou/HZCDC0013/2020,B,2020-01-20,,other
EPI_ISL_406970,Hangzhou/HZ-1/2020,B,2020-01-20,,other
EPI_ISL_428448,Guangdong/20SF118/2020,A,2020-01-21,,other
EPI_ISL_428447,Guangdong/20SF117/2020,A,2020-01-21,,other
EPI_ISL_428443,Guangdong/20SF115/2020,A,2020-01-21,,other
EPI_ISL_421243,Nanchang/JX14/2020,A,2020-01-21,,other
EPI_ISL_421234,Hangzhou/HZCDC0025/2020,B,2020-01-21,,other
EPI_ISL_421233,Hangzhou/HZCDC0048/2020,B,2020-01-21,,other
EPI_ISL_421232,Hangzhou/HZCDC0048L/2020,B,2020-01-21,,other
EPI_ISL_421231,Hangzhou/HZCDC0049L/2020,B,2020-01-21,,other
EPI_ISL_421230,Hangzhou/HZCDC0090/2020,B,2020-01-21,,other
EPI_ISL_421229,Hangzhou/HZCDC0090L/2020,B,2020-01-21,,other
EPI_ISL_421228,Hangzhou/HZCDC0091/2020,B,2020-01-21,,other
EPI_ISL_421227,Hangzhou/HZCDC0091L/2020,B,2020-01-21,,other
EPI_ISL_418507,Hangzhou/HZ91/2020,B,2020-01-21,,other
EPI_ISL_418506,Hangzhou/HZ90/2020,B,2020-01-21,,other
EPI_ISL_418504,Hangzhou/HZ79/2020,B,2020-01-21,,other
EPI_ISL_418442,Hangzhou/HZ49/2020,B,2020-01-21,,other
EPI_ISL_418441,Hangzhou/HZ48/2020,B,2020-01-21,,other
EPI_ISL_417176,HongKong/HKPU1_2101/2020,A,2020-01-21,,other
EPI_ISL_417064,HongKong/VB20017970-2/2020,B,2020-01-21,,other
EPI_ISL_416389,Shanghai/SH0093/2020,B,2020-01-21,,other
EPI_ISL_411060,Fujian/8/2020,A,2020-01-21,,other
EPI_ISL_408478,Chongqing/YC01/2020,A,2020-01-21,,other
EPI_ISL_404253,USA/IL-CDC-02983522-001/2020,B,2020-01-21,,other
EPI_ISL_451323,Sichuan/SC-MY-057/2020,B,2020-01-22,,other
EPI_ISL_434694,Thailand/NIH-162/2020,B,2020-01-22,,other
EPI_ISL_428456,Guangdong/20SF243/2020,B,2020-01-22,,other
EPI_ISL_428454,Guangdong/20SF198/2020,B,2020-01-22,,other
EPI_ISL_428453,Guangdong/20SF195/2020,B,2020-01-22,,other
EPI_ISL_421244,Shangrao/JX29/2020,A,2020-01-22,,other
EPI_ISL_421237,Jiujiang/JX22/2020,A,2020-01-22,,other
EPI_ISL_421226,Hangzhou/HZCDC0119/2020,B,2020-01-22,,other
EPI_ISL_421225,Hangzhou/HZCDC0135/2020,B,2020-01-22,,other
EPI_ISL_418503,Hangzhou/HZ62/2020,B,2020-01-22,,other
EPI_ISL_418502,Hangzhou/HZ60/2020,B,2020-01-22,,other
EPI_ISL_412028,HongKong/VM20001061-2/2020,A,2020-01-22,,other
EPI_ISL_411066,Fujian/13/2020,B,2020-01-22,,other
EPI_ISL_406536,Foshan/20SF211/2020,B,2020-01-22,,other
EPI_ISL_406535,Foshan/20SF210/2020,B,2020-01-22,,other
EPI_ISL_406534,Foshan/20SF207/2020,B,2020-01-22,,other
EPI_ISL_406533,Guangzhou/20SF206/2020,B,2020-01-22,,other
EPI_ISL_406531,Guangdong/20SF174/2020,B,2020-01-22,,other
EPI_ISL_406223,USA/AZ-CDC-02993465-001/2020,A,2020-01-22,,other
EPI_ISL_406036,USA/CA-CDC-02993506-001/2020,B,2020-01-22,,other
EPI_ISL_482678,Singapore/1nan/2020,B,2020-01-23,,other
EPI_ISL_468726,Shanghai/CH-03/2020,A,2020-01-23,,other
EPI_ISL_451390,Sichuan/SC-WCH4-288/2020,CC,2020-01-23,,other
EPI_ISL_451379,Sichuan/SC-WCH-308/2020,B,2020-01-23,,other
EPI_ISL_428460,Guangdong/20SF273/2020,B,2020-01-23,,other
EPI_ISL_428457,Guangdong/20SF254/2020,A,2020-01-23,,other
EPI_ISL_428455,Guangdong/20SF200/2020,B,2020-01-23,,other
EPI_ISL_428452,Guangdong/20SF190/2020,B,2020-01-23,,other
EPI_ISL_421248,Nanchang/JX39/2020,A,2020-01-23,,other
EPI_ISL_421224,Hangzhou/HZCDC0162/2020,B,2020-01-23,,other
EPI_ISL_421223,Hangzhou/HZCDC0167/2020,B,2020-01-23,,other
EPI_ISL_418510,Hangzhou/HZ185/2020,B,2020-01-23,,other
EPI_ISL_418509,Hangzhou/HZ178/2020,B,2020-01-23,,other
EPI_ISL_418508,Hangzhou/HZ162/2020,B,2020-01-23,,other
EPI_ISL_417177,HongKong/HKPU2_1801/2020,B,2020-01-23,,other
EPI_ISL_414936,Shandong/LY003-2/2020,A,2020-01-23,,other
EPI_ISL_410532,Japan/OS-20-07-1/2020,B,2020-01-23,,other
EPI_ISL_408479,Chongqing/ZX01/2020,B,2020-01-23,,other
EPI_ISL_406973,Singapore/1/2020,B,2020-01-23,,other
EPI_ISL_406597,France/IDF-0373/2020,B,2020-01-23,,other
EPI_ISL_406596,France/IDF-0372/2020,B,2020-01-23,,other
EPI_ISL_406538,Guangdong/20SF201/2020,B,2020-01-23,,other
EPI_ISL_406034,USA/CA-CDC-02993471-001/2020,A,2020-01-23,,other
EPI_ISL_406031,Taiwan/2/2020,B,2020-01-23,,other
EPI_ISL_495459,Lishui/LS003/2020,B,2020-01-24,,other
EPI_ISL_451392,Sichuan/SC-WCH4-290/2020,B,2020-01-24,,other
EPI_ISL_451380,Sichuan/SC-WCH-310/2020,B,2020-01-24,,other
EPI_ISL_451361,Sichuan/SC-PHCC2-041/2020,B,2020-01-24,,other
EPI_ISL_451360,Sichuan/SC-PHCC2-040/2020,A0,2020-01-24,,other
EPI_ISL_451345,Sichuan/SC-PHCC1-022/2020,B-B.1,2020-01-24,,other
EPI_ISL_430735,Beijing/BJ54/2020,B,2020-01-24,,other
EPI_ISL_430734,Beijing/BJ53/2020,B,2020-01-24,,other
EPI_ISL_428465,Guangdong/20SF616/2020,B,2020-01-24,,other
EPI_ISL_428461,Guangdong/20SF316/2020,B,2020-01-24,,other
EPI_ISL_418511,Hangzhou/HZ477/2020,B,2020-01-24,,other
EPI_ISL_417030,Australia/NSW04/2020,A0,2020-01-24,,other
EPI_ISL_416410,Australia/VIC02/2020,B,2020-01-24,,other
EPI_ISL_414938,Shandong/LY005-2/2020,A,2020-01-24,,other
EPI_ISL_411926,Taiwan/3/2020,A,2020-01-24,,other
EPI_ISL_407893,Australia/NSW01/2020,A,2020-01-24,,other
EPI_ISL_539334,Hunan/HN-CIDC-P5/2020,B,2020-01-25,,other
EPI_ISL_536447,Singapore/906/2020,A,2020-01-25,,other
EPI_ISL_509505,Australia/NSW2153/2020,B.1,2020-01-25,,other
EPI_ISL_497860,HongKong/HKU-200723-093/2020,B,2020-01-25,,other
EPI_ISL_493166,Wuhan/0125-A192/2020,B,2020-01-25,,other
EPI_ISL_493165,Wuhan/0125-A191/2020,A,2020-01-25,,other
EPI_ISL_493164,Wuhan/0125-A182/2020,B,2020-01-25,,other
EPI_ISL_493163,Wuhan/0125-A174/2020,B,2020-01-25,,other
EPI_ISL_493162,Wuhan/0125-A171/2020,B,2020-01-25,,other
EPI_ISL_493161,Wuhan/0125-A170/2020,B,2020-01-25,,other
EPI_ISL_493160,Wuhan/0125-A169/2020,B,2020-01-25,,other
EPI_ISL_493159,Wuhan/0125-A168/2020,B,2020-01-25,,other
EPI_ISL_493158,Wuhan/0125-A167/2020,B,2020-01-25,,other
EPI_ISL_493157,Wuhan/0125-A164/2020,B,2020-01-25,,other
EPI_ISL_493156,Wuhan/0125-A163/2020,B,2020-01-25,,other
EPI_ISL_493155,Wuhan/0125-A160/2020,B,2020-01-25,,other
EPI_ISL_493154,Wuhan/0125-A153/2020,B,2020-01-25,,other
EPI_ISL_493153,Wuhan/0125-A152/2020,B,2020-01-25,,other
EPI_ISL_493152,Wuhan/0125-A148/2020,B,2020-01-25,,other
EPI_ISL_493151,Wuhan/0125-A145/2020,B,2020-01-25,,other
EPI_ISL_493150,Wuhan/0125-A142/2020,B,2020-01-25,,other
EPI_ISL_493149,Wuhan/0125-A137/2020,B,2020-01-25,,other
EPI_ISL_451382,Sichuan/SC-WCH-315/2020,B,2020-01-25,,other
EPI_ISL_450489,Wuhan/YB012504/2020,B,2020-01-25,,other
EPI_ISL_429852,Lishui/LS111/2020,B,2020-01-25,,other
EPI_ISL_428464,Guangdong/20SF602/2020,B,2020-01-25,,other
EPI_ISL_421249,Xinyu/JX122/2020,A,2020-01-25,,other
EPI_ISL_421245,Nanchang/JX90/2020,A,2020-01-25,,other
EPI_ISL_421242,Ganzhou/JX81/2020,A,2020-01-25,,other
EPI_ISL_418515,Hangzhou/HZ638/2020,B,2020-01-25,,other
EPI_ISL_418514,Hangzhou/HZ576/2020,B,2020-01-25,,other
EPI_ISL_418513,Hangzhou/HZ551/2020,B,2020-01-25,,other
EPI_ISL_418512,Hangzhou/HZ481/2020,B,2020-01-25,,other
EPI_ISL_417178,HongKong/HKPU6_2101/2020,B,2020-01-25,,other
EPI_ISL_416411,Australia/VIC03/2020,B,2020-01-25,,other
EPI_ISL_416317,Shanghai/SH0003/2020,A,2020-01-25,,other
EPI_ISL_416316,Shanghai/SH0002/2020,A,2020-01-25,,other
EPI_ISL_414940,Shandong/LY007-2/2020,A,2020-01-25,,other
EPI_ISL_414939,Shandong/LY006-2/2020,A,2020-01-25,,other
EPI_ISL_411915,Taiwan/CGMH-CGU-01/2020,B,2020-01-25,,other
EPI_ISL_410531,Japan/NA-20-05-1/2020,B,2020-01-25,,other
EPI_ISL_408977,Australia/NSW03/2020,B,2020-01-25,,other
EPI_ISL_539337,Hunan/HN-CIDC-P8/2020,B,2020-01-26,,other
EPI_ISL_493189,Wuhan/0126-C111/2020,A,2020-01-26,,other
EPI_ISL_493188,Wuhan/0126-C109/2020,A,2020-01-26,,other
EPI_ISL_493186,Wuhan/0126-C106/2020,A,2020-01-26,,other
EPI_ISL_493185,Wuhan/0126-C103/2020,A,2020-01-26,,other
EPI_ISL_493184,Wuhan/0126-C102/2020,A,2020-01-26,,other
EPI_ISL_493183,Wuhan/0126-C101/2020,A,2020-01-26,,other
EPI_ISL_493182,Wuhan/0126-C100/2020,B0,2020-01-26,,other
EPI_ISL_493181,Wuhan/0126-C98/2020,A,2020-01-26,,other
EPI_ISL_493180,Wuhan/0126-C94/2020,B0,2020-01-26,,other
EPI_ISL_493179,Wuhan/0126-C93/2020,A,2020-01-26,,other
EPI_ISL_493178,Wuhan/0126-C77/2020,A,2020-01-26,,other
EPI_ISL_493177,Wuhan/0126-C47/2020,B,2020-01-26,,other
EPI_ISL_493176,Wuhan/0126-C45/2020,B,2020-01-26,,other
EPI_ISL_493175,Wuhan/0126-C43/2020,A,2020-01-26,,other
EPI_ISL_493174,Wuhan/0126-C31/2020,A0,2020-01-26,,other
EPI_ISL_493173,Wuhan/0126-C26/2020,A,2020-01-26,,other
EPI_ISL_493172,Wuhan/0126-C14/2020,B,2020-01-26,,other
EPI_ISL_493171,Wuhan/0126-C13/2020,A,2020-01-26,,other
EPI_ISL_493170,Wuhan/0126-C12/2020,B,2020-01-26,,other
EPI_ISL_493169,Wuhan/0126-C10/2020,A,2020-01-26,,other
EPI_ISL_493168,Wuhan/0126-C7/2020,A,2020-01-26,,other
EPI_ISL_493167,Wuhan/0126-C5/2020,B,2020-01-26,,other
EPI_ISL_451365,Sichuan/SC-PHCC2-045/2020,A,2020-01-26,,other
EPI_ISL_451313,Sichuan/SC-GA-062/2020,B,2020-01-26,,other
EPI_ISL_428468,Guangdong/20SF632/2020,B,2020-01-26,,other
EPI_ISL_428467,Guangdong/20SF630/2020,B,2020-01-26,,other
EPI_ISL_428466,Guangdong/20SF629/2020,B,2020-01-26,,other
EPI_ISL_421260,Xinyu/JX124/2020,B.4,2020-01-26,,other
EPI_ISL_421253,Jian/JX129/2020,B,2020-01-26,,other
EPI_ISL_421239,Shangrao/JX105/2020,A,2020-01-26,,other
EPI_ISL_414937,Shandong/LY004-2/2020,A,2020-01-26,,other
EPI_ISL_539336,Hunan/HN-CIDC-P7/2020,B,2020-01-27,,other
EPI_ISL_482679,Singapore/2nan/2020,B,2020-01-27,,other
EPI_ISL_462283,Singapore/165/2020,B,2020-01-27,,other
EPI_ISL_451387,Sichuan/SC-WCH4-285/2020,B,2020-01-27,,other
EPI_ISL_451384,Sichuan/SC-WCH3-255/2020,A,2020-01-27,,other
EPI_ISL_451381,Sichuan/SC-WCH-311/2020,B,2020-01-27,,other
EPI_ISL_451359,Sichuan/SC-PHCC2-039/2020,B,2020-01-27,,other
EPI_ISL_451353,Sichuan/SC-PHCC1-032/2020,CC,2020-01-27,,other
EPI_ISL_451351,Sichuan/SC-PHCC1-030/2020,CC,2020-01-27,,other
EPI_ISL_451339,Sichuan/SC-NJ-090/2020,B,2020-01-27,,other
EPI_ISL_451320,Sichuan/SC-MY-054/2020,CC,2020-01-27,,other
EPI_ISL_451319,Sichuan/SC-MY-053/2020,CC,2020-01-27,,other
EPI_ISL_429102,Guangzhou/GZMU0059/2020,B,2020-01-27,,other
EPI_ISL_429101,Guangzhou/GZMU0058/2020,B,2020-01-27,,other
EPI_ISL_429100,Guangzhou/GZMU0057/2020,B,2020-01-27,,other
EPI_ISL_428473,Guangdong/20SF758/2020,B,2020-01-27,,other
EPI_ISL_428471,Guangdong/20SF685/2020,A,2020-01-27,,other
EPI_ISL_428470,Guangdong/20SF684/2020,A,2020-01-27,,other
EPI_ISL_428469,Guangdong/20SF665/2020,B,2020-01-27,,other
EPI_ISL_421259,Pingxiang/JX151/2020,B,2020-01-27,,other
EPI_ISL_421256,Jian/JX169/2020,B,2020-01-27,,other
EPI_ISL_421247,Nanchang/JX149/2020,A,2020-01-27,,other
EPI_ISL_418996,Singapore/15/2020,T-,2020-01-27,,other
EPI_ISL_413522,India/MH-1-27/2020,B,2020-01-27,,other
EPI_ISL_410713,Singapore/7/2020,B,2020-01-27,,other
EPI_ISL_410044,USA/CA-CDC-6/2020,B,2020-01-27,,other
EPI_ISL_16138010,hCoV-19/Beijing/IME-BJ05/2020,B,2020-01-27,,other
EPI_ISL_582126,UnitedArabEmirates/skmc-920569110/2020,A0,2020-01-28,,other
EPI_ISL_582125,UnitedArabEmirates/skmc-920168117/2020,A0,2020-01-28,,other
EPI_ISL_539335,Hunan/HN-CIDC-P6/2020,B,2020-01-28,,other
EPI_ISL_451378,Sichuan/SC-WCH2-017/2020,B,2020-01-28,,other
EPI_ISL_451376,Sichuan/SC-WCH1-005/2020,B,2020-01-28,,other
EPI_ISL_450200,Germany/BY-ChVir-1020/2020,B-B.1,2020-01-28,,other
EPI_ISL_450198,Germany/BY-ChVir-929-2/2020,B-B.1,2020-01-28,,other
EPI_ISL_429853,Lishui/LS556/2020,B,2020-01-28,,other
EPI_ISL_428477,Guangdong/20SF822/2020,B,2020-01-28,,other
EPI_ISL_428476,Guangdong/20SF813/2020,A,2020-01-28,,other
EPI_ISL_428475,Guangdong/20SF812/2020,B,2020-01-28,,other
EPI_ISL_428474,Guangdong/20SF808/2020,B,2020-01-28,,other
EPI_ISL_428472,Guangdong/20SF753/2020,B,2020-01-28,,other
EPI_ISL_416327,Shanghai/SH0014/2020,B-B.1,2020-01-28,,other
EPI_ISL_416321,Shanghai/SH0008/2020,B,2020-01-28,,other
EPI_ISL_416320,Shanghai/SH0007/2020,B,2020-01-28,,other
EPI_ISL_416319,Shanghai/SH0005/2020,A0,2020-01-28,,other
EPI_ISL_416318,Shanghai/SH0004/2020,A0,2020-01-28,,other
EPI_ISL_411927,Taiwan/4/2020,B,2020-01-28,,other
EPI_ISL_410045,USA/IL-CDC-03037667-001/2020,A,2020-01-28,,other
EPI_ISL_407894,Australia/QLD01/2020,A,2020-01-28,,other
EPI_ISL_406862,Germany/BY-ChVir-929/2020,B-B.1,2020-01-28,,other
OR240372,SH-P203-2-Wuhan/2020-01-29,A,2020-01-29,,other
OR240380,SH-P211-2-Shanghai/2020-01-29,A,2020-01-29,,other
OR240385,SH-P204-2-Wuhan/2020-01-29,A0,2020-01-29,,other
OR240378,SH-P202-2-Wuhan/2020-01-29,B,2020-01-29,,other
OR240381,SH-P206-2-Shanghai/2020-01-29,B,2020-01-29,,other
OR240382,SH-P212-A-2-Wuhan/2020-01-29,B-B.1,2020-01-29,,other
EPI_ISL_539339,Hunan/HN-CIDC-P11/2020,B,2020-01-29,,other
EPI_ISL_539338,Hunan/HN-CIDC-P10/2020,B,2020-01-29,,other
EPI_ISL_529149,Guangzhou/IQTC03/2020,B,2020-01-29,,other
EPI_ISL_497827,HongKong/HKU-200723-060/2020,B,2020-01-29,,other
EPI_ISL_497797,HongKong/HKU-200723-030/2020,B,2020-01-29,,other
EPI_ISL_497771,HongKong/HKU-200723-004/2020,B,2020-01-29,,other
EPI_ISL_451366,Sichuan/SC-PHCC2-046/2020,B,2020-01-29,,other
EPI_ISL_451363,Sichuan/SC-PHCC2-043/2020,B,2020-01-29,,other
EPI_ISL_451336,Sichuan/SC-NC-077/2020,B,2020-01-29,,other
EPI_ISL_451335,Sichuan/SC-NC-076/2020,B,2020-01-29,,other
EPI_ISL_451330,Sichuan/SC-NC-071/2020,CC,2020-01-29,,other
EPI_ISL_450199,Germany/BY-ChVir-1019/2020,B-B.1,2020-01-29,,other
EPI_ISL_435137,UnitedArabEmirates/L5630/2020,A0,2020-01-29,,other
EPI_ISL_430742,Beijing/BJ251/2020,B,2020-01-29,,other
EPI_ISL_430736,Beijing/BJ252/2020,B,2020-01-29,,other
EPI_ISL_430725,Beijing/BJ288/2020,A,2020-01-29,,other
EPI_ISL_430722,Beijing/BJ287/2020,A,2020-01-29,,other
EPI_ISL_429105,Guangzhou/GZMU0055/2020,B,2020-01-29,,other
EPI_ISL_429099,Guangzhou/GZMU0056/2020,A,2020-01-29,,other
EPI_ISL_429098,Guangzhou/GZMU0054/2020,B,2020-01-29,,other
EPI_ISL_429097,Guangzhou/GZMU0052/2020,B,2020-01-29,,other
EPI_ISL_429096,Guangzhou/GZMU0051/2020,B,2020-01-29,,other
EPI_ISL_428478,Guangdong/20SF840/2020,B,2020-01-29,,other
EPI_ISL_428441,Guangdong/20SF1107/2020,A,2020-01-29,,other
EPI_ISL_421262,Nanchang/JX155/2020,B.4,2020-01-29,,other
EPI_ISL_421261,Nanchang/JX176/2020,B.4,2020-01-29,,other
EPI_ISL_421238,Nanchang/JX174/2020,A0,2020-01-29,,other
EPI_ISL_418994,Singapore/3Clin/2020,B,2020-01-29,,other
EPI_ISL_418993,Singapore/20/2020,A,2020-01-29,,other
EPI_ISL_416350,Shanghai/SH0041/2020,A,2020-01-29,,other
EPI_ISL_416324,Shanghai/SH0011/2020,B,2020-01-29,,other
EPI_ISL_416323,Shanghai/SH0010/2020,A,2020-01-29,,other
EPI_ISL_416322,Shanghai/SH0009/2020,A,2020-01-29,,other
EPI_ISL_409067,USA/MA-CDC-03038398-001/2020,B,2020-01-29,,other
EPI_ISL_408431,France/IDF-0626/2020,B,2020-01-29,,other
EPI_ISL_408430,France/IDF-0515/2020,B,2020-01-29,,other
EPI_ISL_408010,USA/CA-CDC-03040142-001/2020,B,2020-01-29,,other
EPI_ISL_408009,USA/CA-CDC-03039595-001/2020,B,2020-01-29,,other
EPI_ISL_408008,USA/CA-CDC-03039618-001/2020,B,2020-01-29,,other
EPI_ISL_407079,Finland/1/2020,B,2020-01-29,,other
EPI_ISL_407073,England/2/2020,A,2020-01-29,,other
EPI_ISL_16138329,hCoV-19/Guangdong/IQTC02/2020,B,2020-01-29,,other
EPI_ISL_582608,UnitedArabEmirates/skmc-920568379/2020,A0,2020-01-30,,other
EPI_ISL_468037,Australia/SA0305/2020,B-B.1,2020-01-30,,other
EPI_ISL_468032,Australia/SA0214/2020,B-B.1,2020-01-30,,other
EPI_ISL_464099,hCoV-19/Zhejiang/Shaoxing-07/2020,B,2020-01-30,,other
EPI_ISL_464095,hCoV-19/Zhejiang/Shaoxing-03/2020,A,2020-01-30,,other
EPI_ISL_464091,hCoV-19/Zhejiang/Shaozing-02/2020,A,2020-01-30,,other
EPI_ISL_455603,Australia/VPRL014/2020,B-B.1,2020-01-30,,other
EPI_ISL_451396,Sichuan/SC-YA-087/2020,B,2020-01-30,,other
EPI_ISL_451395,Sichuan/SC-WCH4-301/2020,B,2020-01-30,,other
EPI_ISL_451389,Sichuan/SC-WCH4-287/2020,CC,2020-01-30,,other
EPI_ISL_451343,Sichuan/SC-NJ-094/2020,B,2020-01-30,,other
EPI_ISL_451337,Sichuan/SC-NC-078/2020,CC,2020-01-30,,other
EPI_ISL_451334,Sichuan/SC-NC-075/2020,B-B.1,2020-01-30,,other
EPI_ISL_451332,Sichuan/SC-NC-073/2020,CC,2020-01-30,,other
EPI_ISL_451315,Sichuan/SC-GA-064/2020,B,2020-01-30,,other
EPI_ISL_451314,Sichuan/SC-GA-063/2020,B,2020-01-30,,other
EPI_ISL_451302,Italy/LAZ-INMI2-N/2020,B,2020-01-30,,other
EPI_ISL_450209,Germany/BY-ChVir-1017/2020,B-B.1,2020-01-30,,other
EPI_ISL_428445,Guangdong/20SF1153/2020,B,2020-01-30,,other
EPI_ISL_428444,Guangdong/20SF1152/2020,B,2020-01-30,,other
EPI_ISL_428442,Guangdong/20SF1136/2020,B,2020-01-30,,other
EPI_ISL_425118,SouthKorea/KCDC2002/2020,A,2020-01-30,,other
EPI_ISL_421241,Nanchang/JX177/2020,A,2020-01-30,,other
EPI_ISL_417183,HongKong/HKPU23_2601/2020,B,2020-01-30,,other
EPI_ISL_416378,Shanghai/SH0075/2020,A,2020-01-30,,other
EPI_ISL_416366,Shanghai/SH0059/2020,A0,2020-01-30,,other
